Hochschulname,Land,Hochschultyp,Trägerschaft,Promotionsrecht,Gründungsjahr,AnzahlStudierende,MitgliedschaftHRK
Fachhochschule Aachen,NW,Fachhochschule / HAW,öffentlich-rechtlich,[ja][Anmerkung 1],1971,14792,"ja (Gruppe der Hochschulen für Angewandte Wissenschaften, Fachhochschulen)"""
Rheinisch-Westfälische Technische Hochschule Aachen,NW,Universität,öffentlich-rechtlich,ja,1870,47511,ja (Gruppe der Universitäten)
"Hochschule Aalen – Technik, Wirtschaft und Gesundheit",BW,Fachhochschule / HAW,öffentlich-rechtlich,[ja][Anmerkung 2],1962,5750,"ja (Gruppe der Hochschulen für Angewandte Wissenschaften, Fachhochschulen)"""
Hochschule Albstadt-Sigmaringen,BW,Fachhochschule / HAW,öffentlich-rechtlich,[ja][Anmerkung 2],1971,3276,"ja (Gruppe der Hochschulen für Angewandte Wissenschaften, Fachhochschulen)"""
Alanus Hochschule,NW,Künstlerische Hochschule,privat,ja,1973,1803,nein
Ostbayerische Technische Hochschule Amberg-Weiden,BY,Fachhochschule / HAW,öffentlich-rechtlich,nein,1994,3889,"ja (Gruppe der Hochschulen für Angewandte Wissenschaften, Fachhochschulen)"""
Hochschule Anhalt – Anhalt University of Applied Sciences,ST,Fachhochschule / HAW,öffentlich-rechtlich,ja,1991,7052,"ja (Gruppe der Hochschulen für Angewandte Wissenschaften, Fachhochschulen)"""
Hochschule für angewandte Wissenschaften Ansbach,BY,Fachhochschule / HAW,öffentlich-rechtlich,nein,1996,3761,"ja (Gruppe der Hochschulen für Angewandte Wissenschaften, Fachhochschulen)"""
Technische Hochschule Aschaffenburg,BY,Fachhochschule / HAW,öffentlich-rechtlich,nein,1995,3424,"ja (Gruppe der Hochschulen für Angewandte Wissenschaften, Fachhochschulen)"""
Technische Hochschule Augsburg,BY,Fachhochschule / HAW,öffentlich-rechtlich,ja,1710,6604,"ja (Gruppe der Hochschulen für Angewandte Wissenschaften, Fachhochschulen)"""
Universität Augsburg,BY,Universität,öffentlich-rechtlich,ja,1970,19975,ja (Gruppe der Universitäten)
Hochschule für Polizei Baden-Württemberg,BW,Verwaltungshochschule,öffentlich-rechtlich,nein,1979,2532,nein
